competition,season,date,home_team,away_team,home_goals,away_goals,neutral_site,stage,round,score_basis,decided_by_penalties,winner,notes
WorldCupQualifiers,2026,2023-11-16,Japan,Myanmar,5,0,False,Qualification,Qualification,full_time,False,Japan,"Venue: Suita, Japan"
WorldCupQualifiers,2026,2023-11-16,Kuwait,India,0,1,False,Qualification,Qualification,full_time,False,India,"Venue: Kuwait City, Kuwait"
WorldCupQualifiers,2026,2023-11-16,Lebanon,Palestine,0,0,True,Qualification,Qualification,full_time,False,,"Venue: Sharjah, United Arab Emirates"
WorldCupQualifiers,2026,2023-11-16,Malaysia,Kyrgyzstan,4,3,False,Qualification,Qualification,full_time,False,Malaysia,"Venue: Kuala Lumpur, Malaysia"
WorldCupQualifiers,2026,2023-11-16,Nigeria,Lesotho,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Uyo, Nigeria"
WorldCupQualifiers,2026,2023-11-16,Oman,Taiwan,3,0,False,Qualification,Qualification,full_time,False,Oman,"Venue: Muscat, Oman"
WorldCupQualifiers,2026,2023-11-16,Philippines,Vietnam,0,2,False,Qualification,Qualification,full_time,False,Vietnam,"Venue: Manila, Philippines"
WorldCupQualifiers,2026,2023-11-16,Qatar,Afghanistan,8,1,False,Qualification,Qualification,full_time,False,Qatar,"Venue: Al Rayyan, Qatar"
WorldCupQualifiers,2026,2023-11-16,Saudi Arabia,Pakistan,4,0,False,Qualification,Qualification,full_time,False,Saudi Arabia,"Venue: Al Hofuf, Saudi Arabia"
WorldCupQualifiers,2026,2023-11-16,South Korea,Singapore,5,0,False,Qualification,Qualification,full_time,False,South Korea,"Venue: Seoul, South Korea"
WorldCupQualifiers,2026,2023-11-16,Sudan,Togo,1,1,True,Qualification,Qualification,full_time,False,,"Venue: Benghazi, Libya"
WorldCupQualifiers,2026,2023-11-16,Syria,North Korea,1,0,True,Qualification,Qualification,full_time,False,Syria,"Venue: Jeddah, Saudi Arabia"
WorldCupQualifiers,2026,2023-11-16,Tajikistan,Jordan,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Dushanbe, Tajikistan"
WorldCupQualifiers,2026,2023-11-16,Thailand,China PR,1,2,False,Qualification,Qualification,full_time,False,China PR,"Venue: Bangkok, Thailand"
WorldCupQualifiers,2026,2023-11-16,Turkmenistan,Uzbekistan,1,3,False,Qualification,Qualification,full_time,False,Uzbekistan,"Venue: Ashgabat, Turkmenistan"
WorldCupQualifiers,2026,2023-11-16,United Arab Emirates,Nepal,4,0,False,Qualification,Qualification,full_time,False,United Arab Emirates,"Venue: Dubai, United Arab Emirates"
WorldCupQualifiers,2026,2023-11-16,Venezuela,Ecuador,0,0,False,Qualification,Qualification,full_time,False,,"Venue: Maturín, Venezuela"
WorldCupQualifiers,2026,2023-11-16,Yemen,Bahrain,0,2,True,Qualification,Qualification,full_time,False,Bahrain,"Venue: Abha, Saudi Arabia"
WorldCupQualifiers,2026,2023-11-17,Burkina Faso,Guinea-Bissau,1,1,True,Qualification,Qualification,full_time,False,,"Venue: Marrakech, Morocco"
WorldCupQualifiers,2026,2023-11-17,Cameroon,Mauritius,3,0,False,Qualification,Qualification,full_time,False,Cameroon,"Venue: Douala, Cameroon"
WorldCupQualifiers,2026,2023-11-17,Comoros,Central African Republic,4,2,False,Qualification,Qualification,full_time,False,Comoros,"Venue: Moroni, Comoros"
WorldCupQualifiers,2026,2023-11-17,Eswatini,Libya,0,1,True,Qualification,Qualification,full_time,False,Libya,"Venue: Mbombela, South Africa"
WorldCupQualifiers,2026,2023-11-17,Ghana,Madagascar,1,0,False,Qualification,Qualification,full_time,False,Ghana,"Venue: Kumasi, Ghana"
WorldCupQualifiers,2026,2023-11-17,Guinea,Uganda,2,1,True,Qualification,Qualification,full_time,False,Guinea,"Venue: Berkane, Morocco"
WorldCupQualifiers,2026,2023-11-17,Ivory Coast,Seychelles,9,0,False,Qualification,Qualification,full_time,False,Ivory Coast,"Venue: Abidjan, Ivory Coast"
WorldCupQualifiers,2026,2023-11-17,Liberia,Malawi,0,1,False,Qualification,Qualification,full_time,False,Malawi,"Venue: Monrovia, Liberia"
WorldCupQualifiers,2026,2023-11-17,Mali,Chad,3,1,False,Qualification,Qualification,full_time,False,Mali,"Venue: Bamako, Mali"
WorldCupQualifiers,2026,2023-11-17,Tunisia,São Tomé and Príncipe,4,0,False,Qualification,Qualification,full_time,False,Tunisia,"Venue: Radès, Tunisia"
WorldCupQualifiers,2026,2023-11-17,Zambia,Congo,4,2,False,Qualification,Qualification,full_time,False,Zambia,"Venue: Ndola, Zambia"
WorldCupQualifiers,2026,2023-11-18,Niger,Tanzania,0,1,True,Qualification,Qualification,full_time,False,Tanzania,"Venue: Marrakech, Morocco"
WorldCupQualifiers,2026,2023-11-18,Senegal,South Sudan,4,0,False,Qualification,Qualification,full_time,False,Senegal,"Venue: Diamniadio, Senegal"
WorldCupQualifiers,2026,2023-11-18,South Africa,Benin,2,1,False,Qualification,Qualification,full_time,False,South Africa,"Venue: Durban, South Africa"
WorldCupQualifiers,2026,2023-11-19,Burundi,Gabon,1,2,True,Qualification,Qualification,full_time,False,Gabon,"Venue: Dar es Salaam, Tanzania"
WorldCupQualifiers,2026,2023-11-19,Mozambique,Algeria,0,2,False,Qualification,Qualification,full_time,False,Algeria,"Venue: Maputo, Mozambique"
WorldCupQualifiers,2026,2023-11-19,Sierra Leone,Egypt,0,2,True,Qualification,Qualification,full_time,False,Egypt,"Venue: Monrovia, Liberia"
WorldCupQualifiers,2026,2023-11-19,Sudan,DR Congo,1,0,True,Qualification,Qualification,full_time,False,Sudan,"Venue: Benghazi, Libya"
WorldCupQualifiers,2026,2023-11-19,Zimbabwe,Nigeria,1,1,True,Qualification,Qualification,full_time,False,,"Venue: Butare, Rwanda"
WorldCupQualifiers,2026,2023-11-20,Chad,Madagascar,0,3,True,Qualification,Qualification,full_time,False,Madagascar,"Venue: Oujda, Morocco"
WorldCupQualifiers,2026,2023-11-20,Djibouti,Guinea-Bissau,0,1,True,Qualification,Qualification,full_time,False,Guinea-Bissau,"Venue: Cairo, Egypt"
WorldCupQualifiers,2026,2023-11-20,Gambia,Ivory Coast,0,2,True,Qualification,Qualification,full_time,False,Ivory Coast,"Venue: Dar es Salaam, Tanzania"
WorldCupQualifiers,2026,2023-11-20,Liberia,Equatorial Guinea,3,0,False,Qualification,Qualification,full_time,False,Liberia,"Venue: Monrovia, Liberia"
WorldCupQualifiers,2026,2023-11-20,Mali,Central African Republic,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Bamako, Mali"
WorldCupQualifiers,2026,2023-11-20,Seychelles,Kenya,0,5,True,Qualification,Qualification,full_time,False,Kenya,"Venue: Abidjan, Ivory Coast"
WorldCupQualifiers,2026,2023-11-21,Afghanistan,Kuwait,0,4,True,Qualification,Qualification,full_time,False,Kuwait,"Venue: Dammam, Saudi Arabia"
WorldCupQualifiers,2026,2023-11-21,Bahrain,United Arab Emirates,0,2,False,Qualification,Qualification,full_time,False,United Arab Emirates,"Venue: Riffa, Bahrain"
WorldCupQualifiers,2026,2023-11-21,Bangladesh,Lebanon,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Dhaka, Bangladesh"
WorldCupQualifiers,2026,2023-11-21,Botswana,Guinea,1,0,False,Qualification,Qualification,full_time,False,Botswana,"Venue: Francistown, Botswana"
WorldCupQualifiers,2026,2023-11-21,Brazil,Argentina,0,1,False,Qualification,Qualification,full_time,False,Argentina,"Venue: Rio de Janeiro, Brazil"
WorldCupQualifiers,2026,2023-11-21,China PR,South Korea,0,3,False,Qualification,Qualification,full_time,False,South Korea,"Venue: Shenzhen, China PR"
WorldCupQualifiers,2026,2023-11-21,Comoros,Ghana,1,0,False,Qualification,Qualification,full_time,False,Comoros,"Venue: Moroni, Comoros"
WorldCupQualifiers,2026,2023-11-21,Ecuador,Chile,1,0,False,Qualification,Qualification,full_time,False,Ecuador,"Venue: Quito, Ecuador"
WorldCupQualifiers,2026,2023-11-21,Eswatini,Cabo Verde,0,2,True,Qualification,Qualification,full_time,False,Cabo Verde,"Venue: Mbombela, South Africa"
WorldCupQualifiers,2026,2023-11-21,Ethiopia,Burkina Faso,0,3,True,Qualification,Qualification,full_time,False,Burkina Faso,"Venue: El Jadida, Morocco"
WorldCupQualifiers,2026,2023-11-21,Hong Kong,Turkmenistan,2,2,False,Qualification,Qualification,full_time,False,,"Venue: Hong Kong, Hong Kong"
WorldCupQualifiers,2026,2023-11-21,India,Qatar,0,3,False,Qualification,Qualification,full_time,False,Qatar,"Venue: Bhubaneswar, India"
WorldCupQualifiers,2026,2023-11-21,Jordan,Saudi Arabia,0,2,False,Qualification,Qualification,full_time,False,Saudi Arabia,"Venue: Amman, Jordan"
WorldCupQualifiers,2026,2023-11-21,Kyrgyzstan,Oman,1,0,False,Qualification,Qualification,full_time,False,Kyrgyzstan,"Venue: Bishkek, Kyrgyzstan"
WorldCupQualifiers,2026,2023-11-21,Lesotho,Benin,0,0,True,Qualification,Qualification,full_time,False,,"Venue: Durban, South Africa"
WorldCupQualifiers,2026,2023-11-21,Libya,Cameroon,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Benghazi, Libya"
WorldCupQualifiers,2026,2023-11-21,Malawi,Tunisia,0,1,False,Qualification,Qualification,full_time,False,Tunisia,"Venue: Lilongwe, Malawi"
WorldCupQualifiers,2026,2023-11-21,Mauritius,Angola,0,0,False,Qualification,Qualification,full_time,False,,"Venue: Saint Pierre, Mauritius"
WorldCupQualifiers,2026,2023-11-21,Myanmar,North Korea,1,6,False,Qualification,Qualification,full_time,False,North Korea,"Venue: Yangon, Myanmar"
WorldCupQualifiers,2026,2023-11-21,Nepal,Yemen,0,2,False,Qualification,Qualification,full_time,False,Yemen,"Venue: Kathmandu, Nepal"
WorldCupQualifiers,2026,2023-11-21,Niger,Zambia,2,1,True,Qualification,Qualification,full_time,False,Niger,"Venue: Marrakech, Morocco"
WorldCupQualifiers,2026,2023-11-21,Pakistan,Tajikistan,1,6,False,Qualification,Qualification,full_time,False,Tajikistan,"Venue: Islamabad, Pakistan"
WorldCupQualifiers,2026,2023-11-21,Palestine,Australia,0,1,True,Qualification,Qualification,full_time,False,Australia,"Venue: Kuwait City, Kuwait"
WorldCupQualifiers,2026,2023-11-21,Paraguay,Colombia,0,1,False,Qualification,Qualification,full_time,False,Colombia,"Venue: Asunción, Paraguay"
WorldCupQualifiers,2026,2023-11-21,Peru,Venezuela,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Lima, Peru"
WorldCupQualifiers,2026,2023-11-21,Philippines,Indonesia,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Manila, Philippines"
WorldCupQualifiers,2026,2023-11-21,Rwanda,South Africa,2,0,False,Qualification,Qualification,full_time,False,Rwanda,"Venue: Butare, Rwanda"
WorldCupQualifiers,2026,2023-11-21,Singapore,Thailand,1,3,False,Qualification,Qualification,full_time,False,Thailand,"Venue: Kallang, Singapore"
WorldCupQualifiers,2026,2023-11-21,Somalia,Uganda,0,1,True,Qualification,Qualification,full_time,False,Uganda,"Venue: Berkane, Morocco"
WorldCupQualifiers,2026,2023-11-21,South Sudan,Mauritania,0,0,True,Qualification,Qualification,full_time,False,,"Venue: Diamniadio, Senegal"
WorldCupQualifiers,2026,2023-11-21,Syria,Japan,0,5,True,Qualification,Qualification,full_time,False,Japan,"Venue: Jeddah, Saudi Arabia"
WorldCupQualifiers,2026,2023-11-21,São Tomé and Príncipe,Namibia,0,2,True,Qualification,Qualification,full_time,False,Namibia,"Venue: Agadir, Morocco"
WorldCupQualifiers,2026,2023-11-21,Taiwan,Malaysia,0,1,False,Qualification,Qualification,full_time,False,Malaysia,"Venue: Taipei, Taiwan"
WorldCupQualifiers,2026,2023-11-21,Tanzania,Morocco,0,2,False,Qualification,Qualification,full_time,False,Morocco,"Venue: Dar es Salaam, Tanzania"
WorldCupQualifiers,2026,2023-11-21,Togo,Senegal,0,0,False,Qualification,Qualification,full_time,False,,"Venue: Lomé, Togo"
WorldCupQualifiers,2026,2023-11-21,Uruguay,Bolivia,3,0,False,Qualification,Qualification,full_time,False,Uruguay,"Venue: Montevideo, Uruguay"
WorldCupQualifiers,2026,2023-11-21,Uzbekistan,Iran,2,2,False,Qualification,Qualification,full_time,False,,"Venue: Tashkent, Uzbekistan"
WorldCupQualifiers,2026,2023-11-21,Vietnam,Iraq,0,1,False,Qualification,Qualification,full_time,False,Iraq,"Venue: Hanoi, Vietnam"
WorldCupQualifiers,2026,2024-03-21,Afghanistan,India,0,0,True,Qualification,Qualification,full_time,False,,"Venue: Abha, Saudi Arabia"
WorldCupQualifiers,2026,2024-03-21,Australia,Lebanon,2,0,False,Qualification,Qualification,full_time,False,Australia,"Venue: Sydney, Australia"
WorldCupQualifiers,2026,2024-03-21,Bahrain,Nepal,5,0,False,Qualification,Qualification,full_time,False,Bahrain,"Venue: Riffa, Bahrain"
WorldCupQualifiers,2026,2024-03-21,Hong Kong,Uzbekistan,0,2,False,Qualification,Qualification,full_time,False,Uzbekistan,"Venue: Hong Kong, Hong Kong"
WorldCupQualifiers,2026,2024-03-21,Indonesia,Vietnam,1,0,False,Qualification,Qualification,full_time,False,Indonesia,"Venue: Jakarta, Indonesia"
WorldCupQualifiers,2026,2024-03-21,Iran,Turkmenistan,5,0,False,Qualification,Qualification,full_time,False,Iran,"Venue: Tehran, Iran"
WorldCupQualifiers,2026,2024-03-21,Iraq,Philippines,1,0,False,Qualification,Qualification,full_time,False,Iraq,"Venue: Basra, Iraq"
WorldCupQualifiers,2026,2024-03-21,Japan,North Korea,1,0,False,Qualification,Qualification,full_time,False,Japan,"Venue: Tokyo, Japan"
WorldCupQualifiers,2026,2024-03-21,Myanmar,Syria,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Yangon, Myanmar"
WorldCupQualifiers,2026,2024-03-21,Oman,Malaysia,2,0,False,Qualification,Qualification,full_time,False,Oman,"Venue: Muscat, Oman"
WorldCupQualifiers,2026,2024-03-21,Pakistan,Jordan,0,3,False,Qualification,Qualification,full_time,False,Jordan,"Venue: Islamabad, Pakistan"
WorldCupQualifiers,2026,2024-03-21,Palestine,Bangladesh,5,0,True,Qualification,Qualification,full_time,False,Palestine,"Venue: Kuwait City, Kuwait"
WorldCupQualifiers,2026,2024-03-21,Qatar,Kuwait,3,0,False,Qualification,Qualification,full_time,False,Qatar,"Venue: Doha, Qatar"
WorldCupQualifiers,2026,2024-03-21,Saudi Arabia,Tajikistan,1,0,False,Qualification,Qualification,full_time,False,Saudi Arabia,"Venue: Riyadh, Saudi Arabia"
WorldCupQualifiers,2026,2024-03-21,Singapore,China PR,2,2,False,Qualification,Qualification,full_time,False,,"Venue: Kallang, Singapore"
