date,home_team,away_team,actual,Home,Draw,Away,model_name
2026-07-04,Canada,Morocco,Away,0.48498735738924587,0.26440086445895294,0.2506117781518011,DixonColes
2026-07-04,France,Paraguay,Home,0.7886308595515347,0.19341899061962856,0.01795014982883666,DixonColes
2026-07-05,Norway,Brazil,Home,0.026477092506847422,0.06931421225696595,0.9042086952361866,DixonColes
2026-07-05,England,Mexico,Home,0.04829674386137306,0.3049529596219454,0.6467502965166815,DixonColes
2026-07-06,Spain,Portugal,Home,0.29288884973685003,0.6309957302929216,0.07611541997022854,DixonColes
2026-07-06,Belgium,United States,Home,0.5605763492026189,0.22974896038896633,0.20967469040841463,DixonColes
2026-07-07,Argentina,Egypt,Home,0.25855078471097853,0.3844885647351813,0.35696065055384013,DixonColes
2026-07-07,Switzerland,Colombia,Draw,0.08409999315718632,0.4047793555043985,0.5111206513384153,DixonColes
2026-07-09,France,Morocco,Home,0.6612861129926175,0.2570264469588438,0.08168744004853877,DixonColes
2026-07-10,Spain,Belgium,Home,0.5733622306411399,0.39482265573771125,0.031815113621149,DixonColes
2026-07-11,England,Norway,Draw,0.392823308115283,0.18577885913081243,0.4213978327539046,DixonColes
2026-07-11,Argentina,Switzerland,Draw,0.4254246538128133,0.3553664334395128,0.2192089127476739,DixonColes
2026-07-14,Spain,France,Home,0.2483191183047868,0.5583119985429138,0.19336888315229944,DixonColes
2026-07-15,England,Argentina,Away,0.3310520221385745,0.2981896108922744,0.3707583669691513,DixonColes
